50  100
0         31        414  
1         45        86   
2         31        100  
3         17        205  
4         39        574  
5         13        216  
6         18        607  
7         22        576  
8         43        324  
9         33        788  
10        50        507  
11        21        576  
12        12        151  
13        28        325  
14        35        975  
15        39        32   
16        14        669  
17        39        949  
18        11        390  
19        13        149  
20        17        997  
21        36        1001 
22        19        647  
23        12        701  
24        12        332  
25        6         737  
26        29        615  
27        2         708  
28        41        151  
29        48        991  
30        4         170  
31        42        465  
32        21        115  
33        15        583  
34        40        518  
35        33        442  
36        4         70   
37        42        45   
38        28        970  
39        37        662  
40        1         185  
41        50        91   
42        23        662  
43        22        539  
44        34        805  
45        37        913  
46        7         503  
47        8         789  
48        15        742  
49        11        96   
50        49        53   
51        11        725  
52        12        955  
53        27        837  
54        8         489  
55        28        152  
56        9         848  
57        41        447  
58        33        16   
59        45        272  
60        33        466  
61        7         771  
62        14        514  
63        17        560  
64        37        881  
65        33        466  
66        21        167  
67        40        30   
68        47        934  
69        22        996  
70        34        316  
71        16        47   
72        31        366  
73        27        623  
74        19        454  
75        34        177  
76        5         30   
77        43        862  
78        5         457  
79        49        774  
80        37        27   
81        29        221  
82        25        380  
83        42        290  
84        37        92   
85        29        686  
86        17        384  
87        14        545  
88        5         201  
89        13        106  
90        14        12   
91        28        548  
92        38        205  
93        39        584  
94        31        781  
95        37        974  
96        19        547  
97        28        999  
98        36        420  
99        18        190  
